28800.0
time step : 49, 37, 27, 37, 42, 21, 122, 75, 28, 31, 101, 0, 

time step : 42, 26, 59, 9, 93, 60, 83, 28, 40, 33, 66, 32, 

time step : 1, 13, 37, 11, 58, 48, 65, 39, 42, 25, 29, 35, 

time step : 46, 54, 27, 30, 80, 100, 37, 86, 34, 27, 56, 79, 

time step : 67, 37, 4, 25, 57, 117, 131, 72, 57, 71, 101, 66, 

time step : 8, 23, 16, 35, 98, 77, 95, 34, 73, 38, 81, 151, 

time step : 38, 21, 19, 29, 44, 74, 52, 151, 30, 33, 70, 48, 

time step : 26, 25, 12, 37, 69, 71, 130, 81, 43, 4, 32, 73, 

time step : 22, 67, 36, 54, 86, 112, 73, 90, 50, 61, 30, 75, 

time step : 40, 53, 59, 83, 59, 112, 35, 87, 60, 10, 68, 47, 

time step : 54, 38, 25, 70, 84, 49, 74, 52, 52, 54, 35, 58, 

time step : 18, 47, 0, 0, 71, 100, 51, 71, 5, 81, 22, 55, 
32400.0
time step : 104, 12, 49, 43, 82, 66, 82, 98, 57, 104, 19, 43, 

time step : 129, 34, 29, 18, 105, 114, 176, 196, 57, 303, 138, 64, 

time step : 129, 57, 41, 37, 126, 103, 52, 232, 113, 113, 110, 139, 

time step : 79, 53, 0, 42, 102, 99, 194, 258, 74, 103, 101, 158, 

time step : 146, 40, 57, 25, 136, 136, 129, 235, 82, 89, 121, 114, 

time step : 46, 26, 58, 47, 123, 154, 194, 165, 94, 106, 41, 166, 

time step : 92, 37, 80, 66, 120, 48, 169, 205, 68, 105, 138, 137, 

time step : 77, 52, 54, 53, 113, 125, 178, 230, 61, 21, 89, 135, 

time step : 90, 55, 153, 32, 129, 54, 149, 229, 93, 119, 117, 231, 

time step : 58, 3, 84, 26, 167, 173, 92, 87, 83, 48, 144, 155, 

time step : 46, 37, 160, 123, 99, 59, 191, 265, 96, 59, 59, 185, 

time step : 15, 55, 20, 63, 113, 127, 124, 68, 57, 85, 24, 150, 
36000.0
time step : 82, 17, 55, 47, 140, 196, 225, 265, 98, 143, 117, 170, 

time step : 78, 20, 36, 36, 173, 124, 199, 261, 89, 145, 125, 149, 

time step : 80, 72, 108, 108, 142, 119, 199, 215, 132, 154, 103, 135, 

time step : 130, 45, 75, 86, 128, 129, 190, 305, 83, 131, 112, 233, 

time step : 118, 37, 69, 50, 132, 122, 173, 245, 93, 114, 139, 132, 

time step : 99, 57, 77, 70, 124, 161, 208, 245, 100, 145, 29, 167, 

time step : 41, 64, 49, 62, 79, 139, 225, 252, 79, 132, 138, 147, 

time step : 96, 40, 95, 127, 142, 134, 54, 180, 88, 2, 124, 167, 

time step : 107, 86, 102, 58, 171, 108, 225, 285, 81, 144, 112, 181, 

time step : 75, 20, 100, 92, 114, 166, 19, 43, 89, 16, 133, 211, 

time step : 0, 59, 87, 119, 94, 155, 200, 321, 92, 104, 43, 176, 

time step : 54, 24, 56, 29, 134, 50, 28, 52, 22, 104, 79, 164, 
39600.0
time step : 99, 44, 64, 85, 103, 148, 168, 249, 82, 134, 115, 162, 

time step : 48, 58, 82, 122, 157, 162, 236, 283, 96, 137, 127, 171, 

time step : 48, 59, 0, 166, 116, 168, 203, 275, 111, 150, 140, 191, 

time step : 74, 51, 11, 188, 152, 184, 166, 285, 90, 117, 120, 155, 

time step : 97, 45, 44, 57, 134, 136, 190, 242, 108, 139, 77, 158, 

time step : 75, 60, 63, 75, 119, 149, 208, 278, 99, 148, 110, 167, 

time step : 125, 67, 46, 58, 98, 136, 160, 261, 101, 138, 99, 139, 

time step : 68, 26, 50, 63, 133, 166, 204, 196, 59, 114, 75, 150, 

time step : 78, 45, 89, 65, 140, 129, 107, 250, 55, 149, 84, 165, 

time step : 4, 1, 54, 53, 108, 90, 101, 16, 8, 65, 0, 5, 

time step : 4, 15, 92, 0, 33, 54, 172, 58, 0, 95, 1, 30, 

time step : 43, 34, 28, 27, 0, 0, 135, 59, 9, 33, 6, 10, 
43200.0
time step : 55, 55, 84, 71, 118, 148, 188, 237, 85, 127, 110, 158, 

time step : 44, 54, 46, 0, 140, 149, 244, 12, 97, 143, 126, 171, 

time step : 51, 61, 0, 146, 111, 137, 178, 271, 110, 165, 135, 194, 

time step : 71, 61, 42, 137, 147, 182, 173, 277, 67, 95, 130, 201, 

time step : 67, 39, 48, 65, 133, 106, 181, 236, 111, 122, 63, 163, 

time step : 99, 45, 115, 68, 116, 137, 200, 347, 85, 124, 53, 185, 

time step : 55, 41, 49, 61, 107, 99, 80, 115, 87, 95, 103, 130, 

time step : 0, 60, 44, 39, 54, 170, 171, 252, 61, 51, 67, 135, 

